,Environment Feature,,,,,,,,Vehicle Feature,,,,,,,,,,,,,,,,,,,
id,time,cloudiness,precipitation,ponding,wind,fogden,fogdis,wetness,carcolor_H,carcolor_S,carcolor_V,cartype,pitch,yaw,roll,cardistance,traffic,roadtype,camerapos,carcolor_V2,carcolor_S2,carcolor_H2,cartype2,pitch2,yaw2,roll2,cardistance2,camerapos2
0,8,38,42,49,32,99,84,1,350.3571429,100,65.88235294,vehicle.audi.tt,0,0.006117758,0,17,3,I,"882,481,969,541
",65.88235294,100,350.3571429,vehicle.tesla.model3,0,0.006117758,0,32,32
1,18,74,16,5,94,30,84,18,0,0,85.09803922,vehicle.citroen.c3,0,-179.9938965,0,37,3,I,"889,510,927,540
",85.09803922,0,0,vehicle.toyota.prius,0.000102453,0.006117756,0,5,5
2,6,97,55,15,4,1,84,71,0,0,95.29411765,vehicle.nissan.micra,0,-179.9938965,0,30,3,I,"843,504,895,540
",95.29411765,0,0,vehicle.audi.tt,0,-179.9938965,0,25,25
3,9,72,45,94,38,14,43,61,0,0,95.29411765,vehicle.nissan.micra,0,-179.9938965,0,19,3,I,"745,482,842,540
",95.29411765,0,0,vehicle.toyota.prius,0.000102453,-179.9938965,0,33,33
4,22,75,14,36,47,12,98,99,0,100,100,vehicle.toyota.prius,0.000102453,-179.9938965,0,13,3,I,"788,446,928,542
",100,100,0,vehicle.nissan.micra,0,0.006117758,0,37,37
5,4,64,1,53,2,34,76,15,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,-179.9938965,0,34,3,I,"860,510,911,540
",56.07843137,57.34265734,221.7073171,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,9,9
6,17,68,9,33,6,25,90,41,350.3571429,100,65.88235294,vehicle.audi.etron,0,-179.9692993,0,3,3,I,"-14133,-5425,690,719
",65.88235294,100,350.3571429,vehicle.seat.leon,0,-179.9938965,0,15,15
7,14,17,91,68,79,94,65,3,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,-179.9938965,0,32,3,I,"875,495,926,540
",28.62745098,83.56164384,0,vehicle.chevrolet.impala,0,0.006117758,0,5,5
8,23,12,20,95,94,89,84,69,221.7073171,57.34265734,56.07843137,vehicle.chevrolet.impala,0,0.006117758,0,31,3,I,"962,508,1010,541
",56.07843137,57.34265734,221.7073171,vehicle.jeep.wrangler_rubicon,0,0.006117758,0,4,4
9,21,58,0,36,24,78,96,39,0,0,85.09803922,vehicle.citroen.c3,0,0.006117758,0,6,3,I,"993,306,1297,546
",85.09803922,0,0,vehicle.seat.leon,0,0.006117758,0,4,4
10,21,30,67,49,4,36,49,44,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,-179.9938965,0,25,3,I,"826,486,896,540
",73.33333333,13.36898396,69.6,vehicle.nissan.patrol,0,-179.9938965,0,31,31
11,23,73,86,81,43,29,10,68,350.3571429,100,65.88235294,vehicle.audi.tt,0,0.006117758,0,7,3,I,"971,371,1231,545
",65.88235294,100,350.3571429,vehicle.chevrolet.impala,0,0.006117758,0,15,15
12,7,54,61,93,53,57,60,43,0,0,42.74509804,vehicle.bmw.grandtourer,0,0.006117758,0,10,3,I,"951,404,1137,542
",42.74509804,0,0,vehicle.tesla.model3,0,0.006117758,0,27,27
13,3,49,65,18,14,71,26,75,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,-179.9938965,0,8,3,I,"522,334,835,542
",73.33333333,13.36898396,69.6,vehicle.chevrolet.impala,0,0.006117758,0,20,20
14,7,67,69,61,50,76,86,82,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,-179.9938965,0,26,3,I,"844,484,911,540
",28.62745098,83.56164384,0,vehicle.nissan.micra,0,-179.9938965,0,39,39
15,22,69,60,9,8,64,5,51,0,83.56164384,28.62745098,vehicle.volkswagen.t2,0,-179.9938965,0,26,3,I,"853,483,918,540
",28.62745098,83.56164384,0,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,37,37
16,18,99,47,90,63,93,29,60,350.3571429,100,65.88235294,vehicle.audi.tt,0,0.006117758,0,23,3,I,"896,498,959,541
",65.88235294,100,350.3571429,vehicle.jeep.wrangler_rubicon,0,-179.9938965,0,5,5
17,13,44,37,94,43,15,28,94,69.6,13.36898396,73.33333333,vehicle.nissan.patrol,0,0.006117758,0,35,3,I,"967,502,1007,540
",73.33333333,13.36898396,69.6,vehicle.tesla.model3,0,0.006117758,0,22,22
18,16,46,48,20,31,77,95,76,0,0,85.09803922,vehicle.citroen.c3,0,-179.9938965,0,38,3,I,"867,511,907,540
",85.09803922,0,0,vehicle.seat.leon,0,0.006117758,0,11,11
19,15,36,55,72,16,92,62,47,0,0,85.09803922,vehicle.citroen.c3,0,-179.9938965,0,11,3,I,"525,414,764,543
",85.09803922,0,0,vehicle.seat.leon,0,0.006117758,0,18,18
20,24,81,14,43,44,46,37,63,0,0,95.29411765,vehicle.nissan.micra,0,-179.9938965,0,30,3,I,"851,504,903,540
",95.29411765,0,0,vehicle.audi.etron,0,0.006117758,0,8,8
