,TestId,Forest,Prediction,Anchor,Precision,Coverage,Label
0,714,"[1, 17, 15, 13, 5, 6, 14, 4, 0, 3, 4]",High Risk level,cloudiness > 24.00 AND roadtype = T AND cardistance > 9.00 AND yaw <= 100.04 AND fogden > 24.00 AND fogdis <= 74.00 AND roll <= 0.00 AND 24.00 < wind <= 76.00 AND time > 7.00 AND ponding > 25.00,0.602415235,0.0219,High Risk level
1,2136,"[1, 17, 15, 6, 9, 5, 8, 16, 16, 7, 14, 9, 8, 13, 0, 0, 12, 4, 1, 4]",Low Risk level,cloudiness <= 50.00 AND roadtype = I AND cardistance > 17.00 AND fogdis <= 74.00 AND carcolor_S <= 0.00 AND fogden > 50.00 AND 56.08 < carcolor_V <= 85.10 AND 2.00 < carnumber <= 3.00 AND wetness <= 74.00 AND roll <= 0.00 AND yaw <= 100.04 AND time <= 13.00 AND pitch <= 0.00 AND wind > 50.00,0.907040704,0.0003,Low Risk level
2,2019,"[1, 10, 3, 13, 6, 9, 15, 8, 11, 10, 0, 17, 4, 14, 13, 10, 2, 12, 16]",Low Risk level,cloudiness <= 75.00 AND carcolor_H > 233.37 AND ponding > 50.00 AND -178.77 < yaw <= 100.04 AND fogdis <= 74.00 AND carcolor_S > 0.00 AND cardistance > 9.00 AND carcolor_V > 56.08 AND cartype = vehicle.audi.etron AND time <= 19.00 AND roadtype = T AND wind <= 76.00 AND roll <= 0.00 AND precipitation > 24.00 AND pitch <= 0.00 AND carnumber > 2.00,0.539325843,0.0009,Low Risk level
3,2174,"[15, 1, 3, 5]",High Risk level,cardistance > 23.00 AND cloudiness > 50.00 AND ponding > 75.00 AND fogden > 24.00,0.962365591,0.0234,High Risk level
4,2275,"[1, 15, 17, 3]",Low Risk level,cloudiness <= 24.00 AND cardistance > 23.00 AND roadtype = I AND ponding > 75.00,0.967585089,0.0054,Low Risk level
5,103,"[1, 15, 5, 16]",High Risk level,cloudiness > 50.00 AND cardistance > 17.00 AND fogden > 50.00 AND carnumber <= 2.00,0.95392279,0.0352,High Risk level
6,2600,"[1, 0, 6, 15, 4, 17]",Low Risk level,cloudiness <= 75.00 AND time <= 19.00 AND cardistance < 5.00 AND wind <= 76.00 AND roadtype = I,0.368540602,0.0737,Low Risk level
7,6553,"[1, 10, 15, 11, 10, 3, 0, 8, 7, 8, 5, 9, 2, 13, 3, 0, 12, 14, 5, 1, 5, 10, 9, 9, 7, 13, 3, 4]",Low Risk level,cloudiness <= 50.00 AND carcolor_H > 233.37 AND cardistance > 17.00 AND cartype = vehicle.audi.etron AND ponding > 75.00 AND time > 13.00 AND 56.08 < carcolor_V <= 65.88 AND wetness <= 23.00 AND fogden > 76.00 AND 80.37 < carcolor_S <= 100.00 AND precipitation > 24.00 AND yaw <= 0.01 AND pitch <= 0.00 AND roll <= 0.00 AND wind <= 76.00,0.880144033,0.0009,Safety level
8,5233,"[17, 9, 1, 15, 10, 2]",Medium Risk Level,roadtype = T AND carcolor_S <= 0.00 AND cloudiness <= 24.00 AND cardistance > 17.00 AND carcolor_H <= 0.00 AND precipitation > 24.00,0.956806283,0.0113,Medium Risk Level
9,5685,"[17, 9, 1, 15, 10, 13, 15, 7, 14, 16, 12, 10, 10, 8]",Medium Risk Level,roadtype = T AND carcolor_S <= 0.00 AND cloudiness <= 50.00 AND cardistance > 23.00 AND carcolor_H <= 0.00 AND yaw <= -178.77 AND wetness <= 49.00 AND roll <= 0.00 AND carnumber <= 3.00 AND pitch <= 0.00 AND carcolor_V <= 85.10,0.902864259,0.0008,Medium Risk Level
